"","Decade","Category","Prop.Female"
"1",1900,"Chemistry",0
"2",1900,"Literature",0.1
"3",1900,"Medicine",0
"4",1900,"Peace",0.0769230769230769
"5",1900,"Physics",0.0769230769230769
"6",1910,"Chemistry",0.125
"7",1910,"Literature",0
"8",1910,"Medicine",0
"9",1910,"Peace",0
"10",1910,"Physics",0
"11",1920,"Chemistry",0
"12",1920,"Literature",0.2
"13",1920,"Medicine",0
"14",1920,"Peace",0
"15",1920,"Physics",0
"16",1930,"Chemistry",0.0555555555555556
"17",1930,"Literature",0.111111111111111
"18",1930,"Medicine",0
"19",1930,"Peace",0.125
"20",1930,"Physics",0
"21",1940,"Chemistry",0
"22",1940,"Literature",0.166666666666667
"23",1940,"Medicine",0.0666666666666667
"24",1940,"Peace",0.25
"25",1940,"Physics",0
"26",1950,"Chemistry",0
"27",1950,"Literature",0
"28",1950,"Medicine",0
"29",1950,"Peace",0
"30",1950,"Physics",0
"31",1960,"Chemistry",0.0666666666666667
"32",1960,"Economics",0
"33",1960,"Literature",0.0909090909090909
"34",1960,"Medicine",0
"35",1960,"Peace",0
"36",1960,"Physics",0.0555555555555556
"37",1970,"Chemistry",0
"38",1970,"Economics",0
"39",1970,"Literature",0
"40",1970,"Medicine",0.0384615384615385
"41",1970,"Peace",0.25
"42",1970,"Physics",0
"43",1980,"Chemistry",0
"44",1980,"Economics",0
"45",1980,"Literature",0
"46",1980,"Medicine",0.130434782608696
"47",1980,"Peace",0.125
"48",1980,"Physics",0
"49",1990,"Chemistry",0
"50",1990,"Economics",0
"51",1990,"Literature",0.3
"52",1990,"Medicine",0.0476190476190476
"53",1990,"Peace",0.214285714285714
"54",1990,"Physics",0
"55",2000,"Chemistry",0.0333333333333333
"56",2000,"Economics",0.0869565217391304
"57",2000,"Literature",0.3
"58",2000,"Medicine",0.133333333333333
"59",2000,"Peace",0.2
"60",2000,"Physics",0
"61",2010,"Chemistry",0
"62",2010,"Economics",0
"63",2010,"Literature",0.285714285714286
"64",2010,"Medicine",0.1
"65",2010,"Peace",0.571428571428571
"66",2010,"Physics",0
